"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"1","Justin Jefferson (MIN)","17","128","1,809","14.1","1,185","9.3","0","0.0","624","4.9","132","1.0","6","184","28.7%","134","5","28","74","28","14","6","1","64"
"2","Davante Adams (LV)","17","100","1,516","15.2","1,023","10.2","0","0.0","493","4.9","96","1.0","9","180","32.3%","109","8","22","61","24","14","7","2","60"
"3","Tyreek Hill (MIA)","17","119","1,710","14.4","1,226","10.3","0","0.0","484","4.1","58","0.5","5","170","30.2%","127","8","9","69","25","9","7","4","64"
"4","A.J. Brown (PHI)","17","88","1,496","17.0","953","10.8","0","0.0","543","6.2","192","2.2","7","145","28.7%","95","6","16","58","23","13","6","3","78"
"5","Stefon Diggs (HOU)","17","110","1,455","13.2","1,023","9.3","0","0.0","432","3.9","100","0.9","2","156","28.1%","117","7","23","57","17","10","6","2","53"
"6","CeeDee Lamb (DAL)","17","107","1,359","12.6","869","8.0","0","0.0","496","4.6","148","1.4","10","156","28.6%","114","6","12","60","24","6","0","0","39"
"7","Jaylen Waddle (MIA)","17","75","1,356","18.1","842","11.2","0","0.0","514","6.9","149","2.0","4","117","20.8%","82","7","8","54","21","11","6","3","84"
"8","Amari Cooper (CLE)","17","78","1,160","14.9","835","10.7","0","0.0","325","4.2","93","1.2","4","132","26.0%","87","11","16","50","18","7","4","2","55"
"9","Amon-Ra St. Brown (DET)","16","106","1,161","10.9","632","6.0","0","0.0","521","4.9","90","0.8","7","146","25.9%","109","4","21","58","11","3","1","0","49"
"10","DeVonta Smith (PHI)","17","95","1,196","12.6","706","7.4","0","0.0","490","5.2","98","1.0","5","136","26.9%","103","8","12","53","18","8","4","0","45"
"11","Christian Kirk (JAC)","17","84","1,108","13.2","737","8.8","0","0.0","371","4.4","65","0.8","5","133","23.2%","91","7","22","45","18","7","2","0","49"
"12","Ja'Marr Chase (CIN)","13","87","1,046","12.0","609","7.0","0","0.0","437","5.0","141","1.6","10","134","22.4%","99","10","24","45","13","5","3","1","60"
"13","Tyler Lockett (SEA)","16","84","1,033","12.3","759","9.0","0","0.0","274","3.3","23","0.3","1","117","21.2%","87","2","8","42","14","8","1","0","40"
"14","Terry McLaurin (WAS)","17","77","1,191","15.5","797","10.4","0","0.0","394","5.1","143","1.9","7","120","22.6%","80","3","11","48","16","10","6","2","52"
"15","Brandon Aiyuk (SF)","17","78","1,015","13.0","628","8.1","0","0.0","387","5.0","106","1.4","4","114","22.6%","87","8","15","47","17","4","1","1","54"
"16","Mike Evans (TB)","15","77","1,124","14.6","908","11.8","0","0.0","216","2.8","61","0.8","2","127","17.5%","82","4","14","43","19","7","5","3","63"
"17","Tee Higgins (CIN)","15","75","1,042","13.9","750","10.0","0","0.0","292","3.9","101","1.3","2","110","18.4%","82","8","10","43","14","6","3","1","59"
"18","Jerry Jeudy (CLE)","15","67","972","14.5","577","8.6","0","0.0","395","5.9","104","1.6","3","100","18.5%","72","5","10","37","14","9","5","3","67"
"19","DK Metcalf (SEA)","17","90","1,048","11.6","830","9.2","0","0.0","218","2.4","64","0.7","1","141","25.5%","101","7","27","43","11","4","3","2","54"
"20","DJ Moore (CHI)","17","63","888","14.1","706","11.2","0","0.0","182","2.9","46","0.7","4","118","27.6%","69","6","10","36","17","4","4","2","62"
"21","Garrett Wilson (NYJ)","17","83","1,103","13.0","733","8.6","0","0.0","370","4.4","191","2.2","10","147","25.0%","91","5","19","48","13","8","3","3","60"
"22","Cooper Kupp (LAR)","9","75","812","10.8","388","5.2","0","0.0","424","5.7","106","1.4","3","98","19.0%","79","2","11","29","11","3","2","2","75"
"23","Chris Olave (NO)","15","72","1,042","14.5","832","11.6","0","0.0","210","2.9","54","0.8","2","119","24.1%","78","7","10","49","13","6","4","2","53"
"24","Gabe Davis (JAC)","15","48","836","17.4","690","14.4","0","0.0","146","3.0","21","0.4","0","93","16.7%","57","9","13","33","11","4","3","2","98"
"25","Christian Watson (GB)","14","41","611","14.9","335","8.2","0","0.0","276","6.7","46","1.1","3","65","12.1%","45","4","13","24","8","4","3","2","63"
"26","Chris Godwin (TB)","15","104","1,023","9.8","496","4.8","0","0.0","527","5.1","128","1.2","4","142","19.6%","109","3","15","40","10","2","1","0","44"
